STATE/UT,YEAR,CRIME HEAD,Grand Total
Assam,2012,Attempt To Commit Murder,299
Assam,2012,C.H. Not Amounting To Murder,259
Assam,2012,Rape,384
Assam,2012,Kidnapping And Abduction,499
Assam,2012,Dacoity,339
Assam,2012,Prep. And Assembly For Dacoity,37
Assam,2012,Robbery,120
Assam,2012,Burglary,109
Assam,2012,Thefts,744
Assam,2012,Extortion,107
Assam,2012,Riots,57
Assam,2012,Arson,52
Assam,2012,Criminal Breach Of Trust,18
Assam,2012,Cheating,42
Assam,2012,Counter Feiting,35
Assam,2012,Dowry Deaths,46
Assam,2012,Molestation,10
Assam,2012,Eve-Teasing,0
Assam,2012,Cruelty By Husband Or Relative Of Husband,155
Assam,2012,Other Ipc Crimes,147
Bihar,2001,Murder,7403
Bihar,2001,Attempt To Commit Murder,5264
Bihar,2001,C.H. Not Amounting To Murder,161
Bihar,2001,Rape,1370
Bihar,2001,Kidnapping And Abduction,2094
Bihar,2001,Dacoity,1495
Bihar,2001,Prep. And Assembly For Dacoity,323
Bihar,2001,Robbery,1157
Bihar,2001,Burglary,103
Bihar,2001,Thefts,1494
Bihar,2001,Extortion,0
Bihar,2001,Riots,0
Bihar,2001,Arson,0
Bihar,2001,Criminal Breach Of Trust,0
Bihar,2001,Cheating,708
Bihar,2001,Counter Feiting,0
Bihar,2001,Dowry Deaths,0
Bihar,2001,Molestation,0
Bihar,2001,Eve-Teasing,0
Bihar,2001,Cruelty By Husband Or Relative Of Husband,0
Bihar,2001,Other Ipc Crimes,0
Bihar,2002,Murder,10771
Bihar,2002,Attempt To Commit Murder,2728
Bihar,2002,C.H. Not Amounting To Murder,1296
Bihar,2002,Rape,1462
Bihar,2002,Kidnapping And Abduction,2083
Bihar,2002,Dacoity,1848
Bihar,2002,Prep. And Assembly For Dacoity,706
Bihar,2002,Robbery,1389
Bihar,2002,Burglary,326
Bihar,2002,Thefts,2244
Bihar,2002,Extortion,130
Bihar,2002,Riots,130
Bihar,2002,Arson,31
Bihar,2002,Criminal Breach Of Trust,47
Bihar,2002,Cheating,228
Bihar,2002,Counter Feiting,13
Bihar,2002,Dowry Deaths,1014
Bihar,2002,Molestation,7
Bihar,2002,Eve-Teasing,0
Bihar,2002,Cruelty By Husband Or Relative Of Husband,382
Bihar,2002,Other Ipc Crimes,161
Bihar,2003,Murder,7680
Bihar,2003,Attempt To Commit Murder,3408
Bihar,2003,C.H. Not Amounting To Murder,884
Bihar,2003,Rape,1383
Bihar,2003,Kidnapping And Abduction,2178
Bihar,2003,Dacoity,2274
Bihar,2003,Prep. And Assembly For Dacoity,607
Bihar,2003,Robbery,1196
Bihar,2003,Burglary,401
Bihar,2003,Thefts,2423
Bihar,2003,Extortion,524
Bihar,2003,Riots,258
Bihar,2003,Arson,258
Bihar,2003,Criminal Breach Of Trust,64
Bihar,2003,Cheating,209
Bihar,2003,Counter Feiting,58
Bihar,2003,Dowry Deaths,1533
Bihar,2003,Molestation,31
Bihar,2003,Eve-Teasing,14
Bihar,2003,Cruelty By Husband Or Relative Of Husband,349
Bihar,2003,Other Ipc Crimes,74
Bihar,2004,Murder,6084
Bihar,2004,Attempt To Commit Murder,6163
Bihar,2004,C.H. Not Amounting To Murder,489
Bihar,2004,Rape,802
Bihar,2004,Kidnapping And Abduction,1748
Bihar,2004,Dacoity,1267
Bihar,2004,Prep. And Assembly For Dacoity,212
Bihar,2004,Robbery,888
Bihar,2004,Burglary,192
Bihar,2004,Thefts,2155
Bihar,2004,Extortion,329
Bihar,2004,Riots,106
Bihar,2004,Arson,201
Bihar,2004,Criminal Breach Of Trust,59
Bihar,2004,Cheating,221
Bihar,2004,Counter Feiting,92
