state_name,year,detail,male,female,total
Haryana,2012,Escapees from Outside Prison,2,0,2
Haryana,2012,Escapees from Police Custody,5,0,5
Haryana,2012,Re-arrested escapees,5,0,5
Himachal Pradesh,2001,Escapees from Inside Prison,4,0,4
Himachal Pradesh,2001,Escapees from Outside Prison,0,0,0
Himachal Pradesh,2001,Escapees from Police Custody,4,0,4
Himachal Pradesh,2001,Re-arrested escapees,0,0,0
Himachal Pradesh,2002,Escapees from Inside Prison,7,0,7
Himachal Pradesh,2002,Escapees from Outside Prison,0,0,0
Himachal Pradesh,2002,Escapees from Police Custody,4,0,4
Himachal Pradesh,2002,Re-arrested escapees,3,0,3
Himachal Pradesh,2003,Escapees from Inside Prison,0,0,0
Himachal Pradesh,2003,Escapees from Outside Prison,3,0,3
Himachal Pradesh,2003,Escapees from Police Custody,9,0,9
Himachal Pradesh,2003,Re-arrested escapees,6,0,6
Himachal Pradesh,2004,Escapees from Inside Prison,1,0,1
Himachal Pradesh,2004,Escapees from Outside Prison,0,0,0
Himachal Pradesh,2004,Escapees from Police Custody,9,0,9
Himachal Pradesh,2004,Re-arrested escapees,0,0,0
Himachal Pradesh,2005,Escapees from Inside Prison,1,0,1
Himachal Pradesh,2005,Escapees from Outside Prison,0,0,0
Himachal Pradesh,2005,Escapees from Police Custody,9,0,9
Himachal Pradesh,2005,Re-arrested escapees,5,0,5
Himachal Pradesh,2006,Escapees from Inside Prison,0,0,0
Himachal Pradesh,2006,Escapees from Outside Prison,0,0,0
Himachal Pradesh,2006,Escapees from Police Custody,5,0,5
Himachal Pradesh,2006,Re-arrested escapees,0,0,0
Himachal Pradesh,2007,Escapees from Inside Prison,0,0,0
Himachal Pradesh,2007,Escapees from Outside Prison,0,0,0
Himachal Pradesh,2007,Escapees from Police Custody,3,0,3
Himachal Pradesh,2007,Re-arrested escapees,0,0,0
Himachal Pradesh,2008,Escapees from Inside Prison,0,0,0
Himachal Pradesh,2008,Escapees from Outside Prison,0,0,0
Himachal Pradesh,2008,Escapees from Police Custody,2,0,2
Himachal Pradesh,2008,Re-arrested escapees,1,0,1
Himachal Pradesh,2009,Escapees from Inside Prison,0,0,0
Himachal Pradesh,2009,Escapees from Outside Prison,0,0,0
Himachal Pradesh,2009,Escapees from Police Custody,3,0,3
Himachal Pradesh,2009,Re-arrested escapees,2,0,2
Himachal Pradesh,2010,Escapees from Inside Prison,1,0,1
Himachal Pradesh,2010,Escapees from Outside Prison,0,0,0
Himachal Pradesh,2010,Escapees from Police Custody,5,0,5
Himachal Pradesh,2010,Re-arrested escapees,0,0,0
Himachal Pradesh,2011,Escapees from Inside Prison,0,0,0
Himachal Pradesh,2011,Escapees from Outside Prison,0,0,0
Himachal Pradesh,2011,Escapees from Police Custody,6,0,6
Himachal Pradesh,2011,Re-arrested escapees,4,0,4
Himachal Pradesh,2012,Escapees from Inside Prison,0,0,0
Himachal Pradesh,2012,Escapees from Outside Prison,0,0,0
Himachal Pradesh,2012,Escapees from Police Custody,2,0,2
Himachal Pradesh,2012,Re-arrested escapees,1,0,1
Jammu & Kashmir,2001,Escapees from Inside Prison,2,0,2
Jammu & Kashmir,2001,Escapees from Outside Prison,0,0,0
Jammu & Kashmir,2001,Escapees from Police Custody,0,0,0
